,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependants,own_telephone,foreign_worker,class
2851,>=200,46.4063872,existing paid,business,3899.391883,>=1000,1<=X<4,4,female div/dep/mar,none,1.867198934,no known property,38.53120427,bank,own,1,skilled,1,none,yes,bad
2852,0<=X<200,32.38535444,critical/order existing credit,other,8365.724487,<100,4<=X<7,2.397559074,male single,none,2.795118148,life insurance,48.20488185,stores,for free,1,skilled,1,none,yes,bad
2853,0<=X<200,12,delayed previously,new car,674.8442712,<100,1<=X<4,2.344261992,male div/sep,none,3.172130996,car,24.827869,bank,own,1,unskilled resident,1,none,yes,bad
2854,0<=X<200,21.04824259,critical/order existing credit,other,2543.410246,500<=X<10000,1<=X<4,4,male single,none,1.603216173,life insurance,26.96783827,stores,own,1.603216173,unskilled resident,1.396783827,none,yes,bad
2855,<0,22.87352052,existing paid,new car,1381.469366,>=1000,1<=X<4,3.81225342,female div/dep/mar,none,2,life insurance,34.15514039,stores,own,1,skilled,1,none,yes,bad
2856,>=200,18,existing paid,radio/tv,2100,<100,1<=X<4,4,male single,co applicant,2,real estate,37,,own,1,skilled,1,none,yes,bad
2857,<0,12,existing paid,furniture/equipment,7865,<100,>=7,4,male single,none,4,no known property,53,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
2858,<0,24,existing paid,new car,1285,no known savings,4<=X<7,4,female div/dep/mar,none,4,no known property,32,stores,rent,1,skilled,1,none,yes,bad
2859,<0,24,delayed previously,new car,1333,<100,unemployed,4,male single,none,2,real estate,43,stores,for free,2,skilled,2,none,yes,bad
2860,0<=X<200,23.70321844,existing paid,domestic appliance,3927.088199,<100,1<=X<4,3.725268203,male mar/wid,none,2,car,34.07687742,stores,own,1,skilled,1.725268203,yes,yes,bad
2861,>=200,30.02201776,existing paid,furniture/equipment,3347.007339,<100,4<=X<7,4,male div/sep,none,2,car,33.47981705,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
2862,0<=X<200,45.66053601,existing paid,new car,3906.240673,<100,1<=X<4,4,male mar/wid,none,3.415134003,life insurance,45.22017867,stores,for free,1,skilled,1.805044668,none,yes,bad
2863,>=200,16.76596599,critical/order existing credit,radio/tv,1551.425526,<100,<1,4,male single,guarantor,4,life insurance,42.68792119,bank,for free,1.602836167,skilled,1.602836167,none,yes,bad
2864,0<=X<200,40.40674235,existing paid,new car,14264.56825,<100,<1,4,male single,none,2,no known property,51.49157206,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
2865,>=200,18.9302497,no credits/all paid,business,4156.472711,<100,1<=X<4,2.155041617,male single,none,2.310083233,car,33.98445898,stores,own,2,skilled,2,none,yes,bad
2866,<0,48,existing paid,domestic appliance,3051,<100,1<=X<4,3,male single,none,4,car,54,stores,own,1,skilled,1,none,yes,bad
2867,0<=X<200,11.40632775,existing paid,new car,678.8653867,<100,1<=X<4,2.395781502,male mar/wid,none,3,car,25.59367225,bank,own,1,unskilled resident,1,none,yes,bad
2868,0<=X<200,13.60597856,critical/order existing credit,furniture/equipment,1272.364129,100<=X<500,1<=X<4,2,male div/sep,none,2.929347626,car,22.67663094,stores,rent,1,skilled,1,none,yes,bad
2869,0<=X<200,35.13728812,existing paid,business,4287.991337,100<=X<500,1<=X<4,3.714595104,female div/dep/mar,none,4,car,25.42919021,stores,rent,1.714595104,unemp/unskilled non res,1,none,yes,bad
2870,0<=X<200,18,existing paid,used car,12976,<100,unemployed,3,female div/dep/mar,none,4,no known property,38,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
2871,<0,24,existing paid,new car,1285,no known savings,4<=X<7,4,female div/dep/mar,none,4,no known property,32,stores,rent,1,skilled,1,none,yes,bad
2872,<0,18,existing paid,radio/tv,1882,<100,1<=X<4,4,female div/dep/mar,none,4,car,25,bank,rent,2,skilled,1,none,yes,bad
2873,>=200,11.98749413,existing paid,education,719.1083842,<100,<1,3.995831375,male mar/wid,none,3.99166275,car,40.94580788,bank,own,1,unskilled resident,1.995831375,none,yes,bad
2874,<0,18,all paid,new car,1442,<100,4<=X<7,4,male single,none,4,no known property,32,stores,for free,2,unskilled resident,2,none,yes,bad
2875,0<=X<200,11.53151638,existing paid,furniture/equipment,1229.583816,<100,1<=X<4,3.353151638,female div/dep/mar,none,3.646848362,life insurance,23.64684836,stores,own,1,skilled,1,none,yes,bad
2876,0<=X<200,45,existing paid,radio/tv,3031,100<=X<500,1<=X<4,4,male single,guarantor,4,life insurance,21,stores,rent,1,skilled,1,none,yes,bad
2877,<0,21,all paid,new car,1647,no known savings,1<=X<4,4,male single,none,2,life insurance,40,stores,own,2,unskilled resident,2,none,yes,bad
2878,0<=X<200,40.27073174,existing paid,new car,14219.9084,<100,<1,2.903929541,male single,none,2,life insurance,25.53857272,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
2879,<0,14.16207057,existing paid,new car,1223.675859,<100,1<=X<4,4,female div/dep/mar,none,2.360345095,life insurance,23.6396549,stores,own,1,unemp/unskilled non res,1,none,yes,bad
2880,0<=X<200,24,existing paid,new car,1246,<100,<1,4,male single,none,2,real estate,23,,own,1,unskilled resident,1,none,yes,bad
2881,<0,42,existing paid,radio/tv,3965,<100,<1,4,male single,none,3,car,34,stores,own,1,skilled,1,none,yes,bad
2882,no checking,33.97645788,delayed previously,new car,4484.584449,<100,1<=X<4,3.66274298,male single,none,2.16862851,car,30.72159828,stores,own,2.16862851,high qualif/self emp/mgmt,1,yes,yes,bad
2883,<0,12,delayed previously,new car,762.1498702,<100,4<=X<7,4,male mar/wid,none,2.082891322,no known property,26.58023925,bank,own,1,skilled,1.082891322,none,yes,bad
2884,<0,22.68560008,critical/order existing credit,other,1653.7424,<100,4<=X<7,4,male div/sep,none,2,car,33.81946639,stores,own,1.438133308,unskilled resident,1.438133308,none,yes,bad
2885,<0,15.0731412,existing paid,furniture/equipment,2814.2434,<100,4<=X<7,1.512190199,male div/sep,none,1.487809801,no known property,29.60971179,bank,own,1,unemp/unskilled non res,1.512190199,none,yes,bad
2886,<0,12,existing paid,furniture/equipment,7865,<100,>=7,4,male single,none,4,no known property,53,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
2887,<0,48,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,3,male single,none,4,no known property,53,stores,for free,2,skilled,2,none,yes,bad
2888,<0,12,existing paid,new car,1228,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,24,stores,own,1,unskilled resident,1,none,yes,bad
2889,0<=X<200,30,critical/order existing credit,new car,5234,<100,unemployed,4,male mar/wid,none,2,car,28,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
2890,0<=X<200,18,critical/order existing credit,furniture/equipment,1928,<100,<1,2,male single,none,2,real estate,31,stores,own,2,unskilled resident,1,none,yes,bad
2891,>=200,12,all paid,business,609,<100,<1,4,female div/dep/mar,none,1,real estate,26,stores,own,1,unemp/unskilled non res,1,none,yes,bad
2892,<0,24,existing paid,radio/tv,1938,<100,<1,4,male div/sep,none,3,life insurance,32,stores,own,1,skilled,1,none,yes,bad
2893,<0,23.8172212,existing paid,furniture/equipment,4111.309915,<100,<1,2.969536867,male single,guarantor,3.969536867,life insurance,23.57879952,bank,own,1.969536867,skilled,1.969536867,none,yes,bad
2894,>=200,17.7605516,critical/order existing credit,radio/tv,1550.679586,<100,<1,4,male single,guarantor,4,life insurance,40.11857502,bank,for free,1.519954033,skilled,1.519954033,none,yes,bad
2895,0<=X<200,11.47857478,all paid,retraining,5133.589953,<100,<1,2.183598132,female div/dep/mar,none,3.816401868,life insurance,69.86904204,bank,for free,1,high qualif/self emp/mgmt,1.908200934,none,yes,bad
2896,>=200,31.8820975,existing paid,new car,6759.61179,>=1000,1<=X<4,2.462736583,male div/sep,none,3.074526833,car,50.87874642,stores,own,1.537263417,skilled,1,none,yes,bad
2897,0<=X<200,48,existing paid,business,15672,<100,1<=X<4,2,male single,none,2,car,23,stores,own,1,skilled,1,yes,yes,bad
2898,0<=X<200,19.06006543,critical/order existing credit,other,1218.881629,100<=X<500,<1,2.765016357,male mar/wid,none,2.765016357,no known property,41.29328971,bank,own,2,skilled,1.588338786,none,yes,bad
2899,0<=X<200,18.94786155,delayed previously,new car,1039.156415,>=1000,1<=X<4,4,female div/dep/mar,none,2.31595385,life insurance,35.36965387,stores,own,1,skilled,1,none,yes,bad
2900,0<=X<200,28.33030855,delayed previously,domestic appliance,4260.245816,500<=X<10000,1<=X<4,1,male div/sep,none,4,life insurance,29.74510988,stores,own,2.518854606,unemp/unskilled non res,1,none,yes,bad
2901,<0,28.20555123,critical/order existing credit,new car,12540.21231,no known savings,4<=X<7,2.558889754,male single,none,4,no known property,33.36259057,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
2902,0<=X<200,16.96898631,existing paid,new car,1346.562784,<100,<1,3.468734246,male div/sep,none,3.062531508,car,29.21860821,stores,own,1.468734246,skilled,1,yes,yes,bad
2903,no checking,15,existing paid,education,4623,100<=X<500,1<=X<4,3,male single,none,2,life insurance,40,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
2904,<0,14.39292541,existing paid,new car,1533.601179,<100,<1,2.196462704,male mar/wid,guarantor,1,no known property,30.97641803,stores,own,1,skilled,1.398820901,none,yes,bad
2905,<0,18,existing paid,domestic appliance,1217,<100,1<=X<4,4,male mar/wid,none,3,real estate,47,stores,own,1,unskilled resident,1,yes,yes,bad
2906,<0,14.16207057,existing paid,new car,1223.675859,<100,1<=X<4,4,female div/dep/mar,none,2.360345095,life insurance,23.6396549,stores,own,1,unemp/unskilled non res,1,none,yes,bad
2907,<0,12.15991402,critical/order existing credit,furniture/equipment,1207.239871,<100,<1,4,female div/dep/mar,none,3.486673831,car,28.84008598,stores,own,1,skilled,1,none,yes,bad
2908,0<=X<200,24,critical/order existing credit,business,1935,<100,>=7,4,male div/sep,none,4,real estate,31,stores,own,2,skilled,1,yes,yes,bad
2909,0<=X<200,46.54763618,existing paid,education,6315.801552,<100,4<=X<7,4,male single,none,4,life insurance,37.0674666,stores,for free,1,skilled,1,none,yes,bad
2910,no checking,18,delayed previously,business,2169,<100,1<=X<4,4,male mar/wid,none,2,car,28,stores,own,1,skilled,1,yes,yes,bad
2911,0<=X<200,24.35066819,existing paid,business,4242.558525,500<=X<10000,1<=X<4,1,male mar/wid,none,4,no known property,35.49347928,stores,own,2.961036868,unemp/unskilled non res,1,none,yes,bad
2912,<0,24,existing paid,new car,1285,no known savings,4<=X<7,4,female div/dep/mar,none,4,no known property,32,stores,rent,1,skilled,1,none,yes,bad
2913,0<=X<200,15,delayed previously,repairs,1512,>=1000,1<=X<4,3,male mar/wid,none,3,life insurance,61,,own,2,skilled,1,none,yes,bad
2914,<0,12,existing paid,furniture/equipment,1282,<100,1<=X<4,2,female div/dep/mar,none,4,car,20,stores,rent,1,skilled,1,none,yes,bad
2915,>=200,45.6105824,critical/order existing credit,retraining,11644.16013,100<=X<500,1<=X<4,1.867254578,female div/dep/mar,none,3.601763733,car,25.32745422,bank,own,1.867254578,unskilled resident,1,none,yes,bad
2916,<0,45,no credits/all paid,business,11816,<100,>=7,2,male single,none,4,car,29,stores,rent,2,skilled,1,none,yes,bad
2917,0<=X<200,24,no credits/all paid,business,4241,<100,1<=X<4,1,male single,none,4,real estate,36,stores,own,3,unskilled resident,1,yes,yes,bad
2918,<0,14.7729871,existing paid,new car,903.4662339,no known savings,1<=X<4,4,male div/sep,none,2,car,24.38649355,bank,own,1,skilled,1,none,yes,bad
2919,<0,24,all paid,new car,1365.17531,no known savings,<1,4,male mar/wid,none,2.68803001,car,38.44015005,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad
2920,<0,18,existing paid,furniture/equipment,2462,<100,1<=X<4,2,male single,none,2,car,22,stores,own,1,skilled,1,none,yes,bad
2921,0<=X<200,19.45101728,delayed previously,new car,1440.483672,500<=X<10000,4<=X<7,3.393468971,female div/dep/mar,none,3.696734485,car,24.81959309,stores,own,1.696734485,skilled,1,none,yes,bad
2922,<0,36,delayed previously,other,9351.669142,<100,4<=X<7,2.450665595,male single,none,1.675998393,car,24,stores,own,1.225332798,skilled,1,yes,yes,bad
2923,no checking,30.56935568,delayed previously,furniture/equipment,4520.926873,<100,1<=X<4,3.094892614,male single,none,2.452553693,car,38.67150341,stores,own,2.452553693,high qualif/self emp/mgmt,1,yes,yes,bad
2924,<0,12,existing paid,new car,2579,<100,<1,4,male single,none,1,real estate,33,stores,own,1,unskilled resident,2,none,yes,bad
2925,0<=X<200,24,critical/order existing credit,business,1935,<100,>=7,4,male div/sep,none,4,real estate,31,stores,own,2,skilled,1,yes,yes,bad
2926,<0,23.36153175,existing paid,furniture/equipment,1284.290591,no known savings,1<=X<4,4,female div/dep/mar,none,3.858118166,life insurance,31.43247266,stores,rent,1,skilled,1,none,yes,bad
2927,<0,18,existing paid,new car,976,<100,<1,1,female div/dep/mar,none,2,car,23,stores,own,1,unskilled resident,1,none,yes,bad
2928,0<=X<200,51.9198149,delayed previously,domestic appliance,15381.28039,500<=X<10000,1<=X<4,2.326651242,male mar/wid,none,2.653302484,car,35.08609595,bank,for free,1.326651242,high qualif/self emp/mgmt,1,yes,yes,bad
2929,<0,38.14333007,critical/order existing credit,domestic appliance,4290.257994,500<=X<10000,1<=X<4,1.685777343,female div/dep/mar,none,4,car,23.34288867,stores,own,1.657111329,skilled,1,none,yes,bad
2930,0<=X<200,18,existing paid,new car,1042,no known savings,1<=X<4,4,female div/dep/mar,none,2,life insurance,33,stores,own,1,skilled,1,none,yes,bad
2931,<0,19.81823123,existing paid,other,3169.696418,<100,1<=X<4,2.606077075,female div/dep/mar,none,1.696961462,no known property,24.90911561,stores,own,1,skilled,1,none,yes,bad
2932,0<=X<200,18.94786155,delayed previously,new car,1039.156415,>=1000,1<=X<4,4,female div/dep/mar,none,2.31595385,life insurance,35.36965387,stores,own,1,skilled,1,none,yes,bad
2933,0<=X<200,11.8593106,existing paid,furniture/equipment,900.8441364,>=1000,1<=X<4,4,male div/sep,none,1.953103532,car,23.32827527,stores,own,1,skilled,1,none,yes,bad
2934,0<=X<200,24,critical/order existing credit,business,1935,<100,>=7,4,male div/sep,none,4,real estate,31,stores,own,2,skilled,1,yes,yes,bad
2935,0<=X<200,24,critical/order existing credit,business,1935,<100,>=7,4,male div/sep,none,4,real estate,31,stores,own,2,skilled,1,yes,yes,bad
2936,no checking,36,existing paid,furniture/equipment,10974,<100,unemployed,4,female div/dep/mar,none,2,car,26,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
2937,<0,24,existing paid,radio/tv,2439,<100,<1,4,female div/dep/mar,none,4,real estate,35,stores,own,1,skilled,1,yes,yes,bad
2938,<0,12,existing paid,new car,1228,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,24,stores,own,1,unskilled resident,1,none,yes,bad
2939,0<=X<200,15,existing paid,new car,2631,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,car,28,stores,rent,2,skilled,1,yes,yes,bad
2940,0<=X<200,34.89399795,existing paid,furniture/equipment,3445.078332,500<=X<10000,<1,3.631332651,male mar/wid,guarantor,2.368667349,car,38.12899284,stores,own,1,skilled,1.815666326,none,yes,bad
2941,0<=X<200,36,existing paid,repairs,2384,<100,<1,4,male single,none,1,no known property,33,stores,rent,1,unskilled resident,1,none,yes,bad
2942,no checking,48,critical/order existing credit,used car,11590,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,bad
2943,<0,20.60377674,delayed previously,new car,996.8302139,<100,<1,2.301888369,female div/dep/mar,none,2.867925579,life insurance,33.84906974,stores,own,1,unemp/unskilled non res,1,none,yes,bad
2944,>=200,30.02201776,existing paid,furniture/equipment,3347.007339,<100,4<=X<7,4,male div/sep,none,2,car,33.47981705,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
2945,>=200,30.02201776,existing paid,furniture/equipment,3347.007339,<100,4<=X<7,4,male div/sep,none,2,car,33.47981705,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
2946,<0,42.59153753,existing paid,radio/tv,1843.996474,<100,1<=X<4,3.899647397,male mar/wid,none,3.799294794,no known property,23.20070521,stores,for free,1.100352603,skilled,1,yes,yes,bad
2947,0<=X<200,36,existing paid,business,1958.679254,<100,>=7,4,male single,none,4,no known property,56.03065288,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
2948,<0,16.97820561,existing paid,new car,906.222757,no known savings,4<=X<7,4,male div/sep,none,2,car,25.48910281,bank,own,1,skilled,1,none,yes,bad
2949,0<=X<200,38.19439197,delayed previously,furniture/equipment,5163.822122,<100,1<=X<4,3.634268006,male mar/wid,none,2.182865997,car,29.182866,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad
2950,<0,24,all paid,new car,1355.282108,no known savings,<1,4,male single,none,2.805864887,car,39.41759466,stores,own,1.194135113,high qualif/self emp/mgmt,1.194135113,none,yes,bad
2951,<0,18,existing paid,domestic appliance,1217,<100,1<=X<4,4,male mar/wid,none,3,real estate,47,stores,own,1,unskilled resident,1,yes,yes,bad
2952,0<=X<200,36.153834,critical/order existing credit,furniture/equipment,5186.820606,<100,<1,3.316240667,male div/sep,none,2.341879667,car,28.68375933,stores,own,1.658120333,high qualif/self emp/mgmt,1,none,yes,bad
2953,no checking,9,existing paid,furniture/equipment,1980,<100,<1,2,female div/dep/mar,co applicant,2,car,19,stores,rent,2,skilled,1,none,yes,bad
2954,<0,21.21201338,all paid,other,1538.565369,<100,1<=X<4,3.535335564,male single,guarantor,3.070671128,car,27.71731549,bank,own,1.464664436,unemp/unskilled non res,1,none,yes,bad
2955,0<=X<200,36.41698909,existing paid,other,3014.874343,100<=X<500,1<=X<4,4,male mar/wid,guarantor,3.73990876,life insurance,22.04036496,stores,rent,1.26009124,skilled,1,none,yes,bad
2956,<0,21.31016921,existing paid,radio/tv,1833.759323,<100,1<=X<4,3.103389737,female div/dep/mar,none,2,no known property,25.51694869,stores,own,1.896610263,high qualif/self emp/mgmt,1.103389737,none,yes,bad
2957,<0,24,existing paid,radio/tv,1282,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,car,32,stores,own,1,unskilled resident,1,none,yes,bad
2958,0<=X<200,6,delayed previously,new car,1209,<100,unemployed,4,male single,none,4,life insurance,47,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
2959,<0,16.97820561,existing paid,new car,906.222757,no known savings,4<=X<7,4,male div/sep,none,2,car,25.48910281,bank,own,1,skilled,1,none,yes,bad
2960,<0,21,existing paid,radio/tv,1835,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,bad
2961,0<=X<200,23.50350948,critical/order existing credit,business,1934.089767,<100,<1,4,female div/dep/mar,none,3.91725158,real estate,30.66900632,stores,own,1.91725158,skilled,1,none,yes,bad
2962,<0,13.53094928,critical/order existing credit,furniture/equipment,1515.599725,<100,4<=X<7,2.503438809,male div/sep,none,2.496561191,car,32.99312238,bank,own,2,high qualif/self emp/mgmt,1,none,yes,bad
2963,<0,19.472891,existing paid,new car,909.3411138,no known savings,4<=X<7,4,female div/dep/mar,none,2,car,26.7364455,bank,own,1,skilled,1,none,yes,bad
2964,0<=X<200,19.78587408,existing paid,new car,1288.511772,>=1000,4<=X<7,3.64882284,female div/dep/mar,none,2.946468521,life insurance,29.54175988,stores,rent,1,skilled,1,none,yes,bad
2965,0<=X<200,36,existing paid,business,1958.679254,<100,>=7,4,male single,none,4,no known property,56.03065288,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
2966,>=200,36.16738421,existing paid,domestic appliance,4830.688307,<100,<1,2.506974342,male single,guarantor,2.493025658,car,32.01394868,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
2967,0<=X<200,24,critical/order existing credit,furniture/equipment,4774.391565,<100,4<=X<7,2,male div/sep,guarantor,3.526030059,car,27.84381965,bank,own,1,unemp/unskilled non res,1,none,yes,bad
2968,0<=X<200,32.79492053,critical/order existing credit,furniture/equipment,4281.218751,500<=X<10000,1<=X<4,1.041015894,female div/dep/mar,none,3.986328035,car,23.2324234,stores,own,1.986328035,high qualif/self emp/mgmt,1,none,yes,bad
2969,>=200,24,critical/order existing credit,new car,1344,no known savings,4<=X<7,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,bad
2970,0<=X<200,36.153834,critical/order existing credit,furniture/equipment,5186.820606,<100,<1,3.316240667,male div/sep,none,2.341879667,car,28.68375933,stores,own,1.658120333,high qualif/self emp/mgmt,1,none,yes,bad
2971,<0,20,critical/order existing credit,new car,2235,<100,1<=X<4,4,male mar/wid,guarantor,2,life insurance,33,bank,rent,2,skilled,1,none,no,bad
2972,<0,39.27946372,critical/order existing credit,repairs,11494.80081,100<=X<500,1<=X<4,2,male div/sep,guarantor,3.636644322,car,25.81677839,bank,own,2,skilled,1,none,yes,bad
2973,<0,11.90305215,existing paid,other,673.353681,100<=X<500,1<=X<4,4,male mar/wid,none,1.064631902,car,20.25852761,stores,own,1,skilled,1,none,yes,bad
2974,no checking,24,delayed previously,new car,2538,<100,>=7,4,male single,none,4,car,47,stores,own,2,unskilled resident,2,none,yes,bad
2975,<0,18,existing paid,new car,976,<100,<1,1,female div/dep/mar,none,2,car,23,stores,own,1,unskilled resident,1,none,yes,bad
2976,0<=X<200,32.64283791,existing paid,radio/tv,2387.636926,500<=X<10000,<1,3.720236493,male single,none,1.279763507,life insurance,33.55952701,bank,own,1.279763507,unemp/unskilled non res,1,none,yes,bad
2977,0<=X<200,36,delayed previously,business,4455,<100,1<=X<4,2,male div/sep,none,2,real estate,30,,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
2978,<0,21.21201338,all paid,other,1538.565369,<100,1<=X<4,3.535335564,male single,guarantor,3.070671128,car,27.71731549,bank,own,1.464664436,unemp/unskilled non res,1,none,yes,bad
2979,<0,24,existing paid,new car,1381,no known savings,1<=X<4,4,female div/dep/mar,none,2,life insurance,35,stores,own,1,skilled,1,none,yes,bad
2980,<0,24,existing paid,new car,1371,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,stores,rent,1,skilled,1,none,yes,bad
2981,0<=X<200,48,no credits/all paid,business,14421,<100,1<=X<4,2,male single,none,2,car,25,stores,own,1,skilled,1,yes,yes,bad
2982,<0,9.307342071,existing paid,other,1366.307342,<100,4<=X<7,3.020489471,female div/dep/mar,none,3.959021057,life insurance,22.26636313,stores,own,1,skilled,1,none,yes,bad
2983,<0,12,existing paid,new car,1274,<100,<1,3,female div/dep/mar,none,1,real estate,37,stores,own,1,unskilled resident,1,none,yes,bad
2984,<0,21.31016921,existing paid,radio/tv,1833.759323,<100,1<=X<4,3.103389737,female div/dep/mar,none,2,no known property,25.51694869,stores,own,1.896610263,high qualif/self emp/mgmt,1.103389737,none,yes,bad
2985,<0,12,existing paid,furniture/equipment,1082.166819,500<=X<10000,1<=X<4,4,male mar/wid,none,4,car,47.9226936,bank,own,1.995931242,skilled,1,none,yes,bad
2986,0<=X<200,21.92217407,existing paid,new car,1351.536957,<100,4<=X<7,3.346304321,female div/dep/mar,none,3.653695679,life insurance,25.34630432,bank,own,1,unemp/unskilled non res,1,none,yes,bad
2987,0<=X<200,24,delayed previously,furniture/equipment,4795.682621,<100,4<=X<7,2,male mar/wid,co applicant,3.263177525,car,29.42093485,bank,own,1,skilled,1,none,yes,bad
2988,0<=X<200,9.901463368,existing paid,furniture/equipment,956.5960977,500<=X<10000,1<=X<4,1.901463368,female div/dep/mar,none,2.600975578,car,28.39902442,bank,own,1.901463368,skilled,1,none,no,bad
2989,0<=X<200,24.71784019,no credits/all paid,business,4245.665961,500<=X<10000,1<=X<4,1.358920094,male mar/wid,none,4,no known property,34.80359969,stores,own,2.880359969,unskilled resident,1,none,yes,bad
2990,0<=X<200,16.38988653,all paid,new car,1453.270794,<100,1<=X<4,3.463295511,male mar/wid,none,3.194943266,no known property,30.12153429,stores,for free,1.731647755,unemp/unskilled non res,1.731647755,none,yes,bad
2991,<0,22.04356649,delayed previously,new car,4821.238939,<100,4<=X<7,2.163036126,male single,co applicant,3.163036126,life insurance,32.95643351,stores,own,1.163036126,skilled,1,yes,yes,bad
2992,<0,29.11074682,delayed previously,education,2127.776867,<100,1<=X<4,2.765472576,male single,guarantor,1.382736288,life insurance,28.97557174,stores,own,1.617263712,skilled,1,none,yes,bad
2993,<0,24,existing paid,new car,1371,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,stores,rent,1,skilled,1,none,yes,bad
2994,<0,18,existing paid,new car,976,<100,<1,1,female div/dep/mar,none,2,car,23,stores,own,1,unskilled resident,1,none,yes,bad
2995,0<=X<200,24.8222434,delayed previously,radio/tv,1903.03525,100<=X<500,4<=X<7,4,male div/sep,none,3.431479716,life insurance,27.84260142,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
2996,0<=X<200,12,existing paid,furniture/equipment,781.1898898,500<=X<10000,4<=X<7,4,male div/sep,none,3.523789303,life insurance,59.19073906,stores,own,1,skilled,1,none,yes,bad
2997,no checking,26.24741842,delayed previously,new car,2561.972463,<100,1<=X<4,3.250860527,female div/dep/mar,none,3.250860527,no known property,27.52237371,stores,own,1.250860527,skilled,1.250860527,none,yes,bad
2998,0<=X<200,30,no credits/all paid,business,4280,100<=X<500,1<=X<4,4,female div/dep/mar,none,4,car,26,stores,rent,2,unskilled resident,1,none,yes,bad
2999,<0,18,existing paid,furniture/equipment,2462,<100,1<=X<4,2,male single,none,2,car,22,stores,own,1,skilled,1,none,yes,bad
3000,<0,12,all paid,new car,697,<100,<1,4,male single,none,2,car,46,bank,own,2,skilled,1,yes,yes,bad
3001,no checking,36,delayed previously,business,7980,no known savings,<1,4,male single,none,4,car,27,stores,rent,2,skilled,1,yes,yes,bad
3002,<0,28.93674211,existing paid,furniture/equipment,2411.847918,<100,4<=X<7,4,female div/dep/mar,none,4,real estate,25.12651578,stores,own,1,skilled,1,none,yes,bad
3003,<0,36,critical/order existing credit,used car,9629,<100,4<=X<7,4,male single,none,4,car,24,stores,own,2,skilled,1,yes,yes,bad
3004,<0,48,existing paid,furniture/equipment,3927.695539,<100,1<=X<4,4,male mar/wid,none,3.611239932,no known property,44.44495973,bank,for free,1,skilled,1.805619966,none,yes,bad
3005,0<=X<200,24,existing paid,new car,1355,<100,<1,3,female div/dep/mar,none,4,car,25,stores,own,1,unskilled resident,1,yes,yes,bad
3006,0<=X<200,48,no credits/all paid,business,14421,<100,1<=X<4,2,male single,none,2,car,25,stores,own,1,skilled,1,yes,yes,bad
3007,<0,11.90305215,existing paid,other,673.353681,100<=X<500,1<=X<4,4,male mar/wid,none,1.064631902,car,20.25852761,stores,own,1,skilled,1,none,yes,bad
3008,0<=X<200,27.95625258,existing paid,repairs,11848.80644,<100,4<=X<7,1,female div/dep/mar,none,2.021873708,life insurance,30.25312974,stores,own,1.340624569,skilled,1,none,yes,bad
3009,0<=X<200,36,existing paid,education,12612,100<=X<500,1<=X<4,1,male single,none,4,no known property,47,stores,for free,1,skilled,2,yes,yes,bad
3010,0<=X<200,24.47359047,existing paid,new car,2992.435231,500<=X<10000,4<=X<7,4,male div/sep,guarantor,3.37798759,life insurance,23.48804964,stores,rent,1.62201241,skilled,1,none,yes,bad
3011,>=200,12,all paid,business,609,<100,<1,4,female div/dep/mar,none,1,real estate,26,stores,own,1,unemp/unskilled non res,1,none,yes,bad
3012,0<=X<200,48,existing paid,new car,6560,100<=X<500,4<=X<7,3,male single,none,2,life insurance,24,stores,own,1,skilled,1,none,yes,bad
